종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"466400","1Q 25-08 회사채(A+이상)액티브","105565","25","0.02","105565.63","105565","105565","105560","203","21429455","113271245000","0","1073000","KIS 2025-08만기형 크레딧 A+이상 지수(총수익)","119.42","0.06","0.05"
"451060","1Q K200액티브","11625","-465","-3.85","11637.41","11825","11830","11570","19539","227151075","142987500000","0","12300000","코스피 200","365.17","-15.37","-4.04"
"463290","1Q 단기금융채액티브","104500","15","0.01","104496.56","104490","104500","104490","9643","1007651345","214956500000","0","2057000","MK 머니마켓 지수(총수익)","13899.39","4.83","0.03"
"479080","1Q 머니마켓액티브","50775","10","0.02","50770.83","50765","50775","50760","30697","1558500435","340192500000","0","6700000","KIS-하나 MMF 지수(총수익)","113.57","0.03","0.03"
"472350","1Q 차이나H(H)","10785","-250","-2.27","10807.05","11035","11035","10770","141","1539605","19413000000","0","1800000","Hang Seng China H","5969.42","-116.98","-1.92"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10325","5","0.05","10321.21","10320","10325","10320","8741","90210125","126274750000","0","12230000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","116.25","0.03","0.03"
"105190","ACE 200","37015","-1575","-4.08","37017.49","37675","37700","36845","18622","690480255","475642750000","0","12850000","코스피 200","365.17","-15.37","-4.04"
"332500","ACE 200TR","23860","-1040","-4.18","23879.27","24330","24330","23780","22682","541436750","40562000000","0","1700000","코스피 200 TR","467.00","-19.66","-4.04"
"448880","ACE 24-12 회사채(AA-이상)액티브","105185","5","0.00","105194.55","105200","105200","105185","1786","187873195","225727010000","0","2146000","KIS 크레딧 2412만기형 총수익지수","112.41","0.03","0.03"
"461260","ACE 25-06 회사채(AA-이상)액티브","10590","0","0.00","10591.85","10595","10595","10590","4154","43996905","115854600000","0","10940000","KIS 크레딧 2506만기형(AA-이상)지수(총수익지수)","119.31","0.05","0.04"
"461270","ACE 26-06 회사채(AA-이상)액티브","10725","5","0.05","10716.12","10710","10725","10710","40695","436214620","155405250000","0","14490000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","118.26","0.08","0.07"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10240","0","0.00","10242.59","10240","10245","10240","1305","13365940","118784000000","0","11600000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","115.44","0.04","0.03"
"385600","ACE 2차전지&친환경차액티브","9725","-240","-2.41","9709.94","10160","10160","9655","6505","63625450","18477500000","0","1900000","FnGuide 친환경 자동차 밸류체인 지수","1382.75","-28.69","-2.03"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10240","5","0.05","10235.97","10235","10240","10235","2493","25517940","92876800000","0","9070000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","114.33","0.05","0.04"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10210","-5","-0.05","10214.11","10215","10215","10210","934","9538610","30936300000","0","3030000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","115.77","0.03","0.03"
"469150","ACE AI반도체포커스","15350","-1360","-8.14","15352.48","15890","15965","15330","185100","2880087465","59865000000","0","3900000","FnGuide AI 반도체 포커스 지수(시장가격)","1920.27","-167.60","-8.03"
"487340","ACE CD금리&초단기채권액티브","100365","10","0.01","100360.11","100365","100365","100355","46755","4692456925","130875960000","0","1304000","MK-KAP CD 금리 & 초단기 채권 총수익 지수","114.08","0.03","0.03"
"385590","ACE ESG액티브","8255","-380","-4.40","8260.08","8470","8470","8220","1159","9663930","27241500000","0","3300000","MSCI Korea Country ESG Leaders Custom Capped Price return Index","1614.24","-68.59","-4.08"
"380340","ACE Fn5G플러스","9565","-505","-5.01","9556.10","9835","9835","9520","376","3626345","6695500000","0","700000","FnGuide 5G플러스 지수 (시장가격)","1905.34","-114.23","-5.66"
"226380","ACE Fn성장소비주도주","5820","-135","-2.27","5819.27","5895","5895","5795","908","5293480","6402000000","0","1100000","FnGuide 성장소비주도 지수","1924.79","-46.29","-2.35"
"414270","ACE G2전기차&자율주행액티브","8125","-450","-5.25","8145.77","8080","8295","8075","18465","150760495","54031250000","0","6650000","FactSet US-China Electric&Autonomous Vehicle Price Return Index","211.02","-5.09","-2.36"
"475050","ACE KPOP포커스","7070","-60","-0.84","7081.69","7065","7280","7045","171052","1227884110","20149500000","0","2850000","iSelect K-POP 포커스지수(시장가격)","1773.83","-10.12","-0.57"
"411060","ACE KRX금현물","15710","305","1.98","15564.28","15415","15710","15415","837079","13040268715","293777000000","0","18700000","KRX 금현물지수","2575.85","47.15","1.86"
"225130","ACE 골드선물 레버리지(합성 H)","22450","315","1.42","22525.07","22095","22520","21965","7550","168258220","8980000000","0","400000","S&P GSCI GOLD Index Excess Return","159.57","-0.71","-0.44"
"483340","ACE 구글밸류체인액티브","9100","-690","-7.05","9316.00","9790","9790","9080","71011","646976685","38220000000","0","4200000","KEDI 글로벌 AI 클라우드 지수","3805.00","0.00","0.00"
"365780","ACE 국고채10년","91565","220","0.24","91539.60","91600","91720","91465","24420","2236495975","168113340000","0","1836000","KIS 10년 국고채 지수 (총수익)","16241.04","44.15","0.27"
"114460","ACE 국고채3년","103545","135","0.13","103497.52","103545","103545","103455","125","12939180","18638100000","0","180000","KTB INDEX(시장가격)","10424.54","12.48","0.12"
"411050","ACE 글로벌메타버스테크액티브","11750","-490","-4.00","11803.75","12070","12070","11750","1158","13689425","17625000000","0","1500000","Bloomberg Global Digital Media & Tech Select Price Return Index","4094.26","-167.72","-3.94"
"446770","ACE 글로벌반도체TOP4 Plus SOLACTIVE","23200","-2240","-8.81","23650.04","23630","23660","23200","391084","9158260075","439640000000","0","18950000","Solactive Global Semiconductor TOP4 Plus Price Return Index","4413.95","-262.87","-5.62"
"435040","ACE 글로벌브랜드TOP10블룸버그","14845","-425","-2.78","15016.71","15045","15055","14830","1689","25211940","13360500000","0","900000","Bloomberg Global Select Industry Leaders TOP10 Index(PR)","3809.81","-58.38","-1.51"
"460960","ACE 글로벌인컴TOP10 SOLACTIVE","10635","-95","-0.89","10668.16","10670","10720","10605","74304","790399010","27119250000","0","2550000","Solactive Global Superior Income TOP 10 Price Return Index","756.89","-7.10","-0.93"
